SUNCOR_WELLBORE_ID,FILE_NAME,FOLDER_SURFACE_NAME,MD,RECEIVED_DATE,STRUCTURE_RELEASE,WELLBORE_STATUS,WELLBORE_COMPLETION_STATUS,SAA_PATTERN,NGF_PATTERN,AMENDMENT_SUMMARY,TVD,PETREL_SURFACE_Y,PETREL_KB_ELEV,PETREL_GROUND_ELEV,IHS_KB_ELEV,WELLBORE_TYPE,ACTIVE_WELLBORE_FLAG,PRIOR_UWI,CURRENT_UWI_EFFECTIVE_DATE,LICENSE_ID,LICENSE_NUMBER,LICENSE_DATE,PETREL_SURFACE_X,WELL_PAIR,COMMON_WELLNAME,COMMON_WELLBORE_NAME,WELLVIEW_WELLNAME,PETREL_WELLNAME,CURRENT_UWI,TVDSS,X_COORDINATE,Y_COORDINATE,PROJECT,SURFACE_PAD,PATTERN
SUN-AB0458829-093-12-W4-00,125150709312W400,z-(base-of-continuous-res)-constrained-(unofficial),467.426666,2020-08-27T00:00:00.0000000,20xx-structure-release,Active,Cased,751 N,751 N,,167.719183,6322832.000000,,434.299988,438.900000,SAGD Producer,Y,,,AB0458829,0458829,2013-08-26T00:00:00.0000000,443853.000000,751-WP06,751-P06,751-P06-Original,SUNCOR 751P6 DOVER 15-7-93-12,SUNCOR P751P6 DOVER 15-7-93-12,125150709312W400,271.180817,444070.968750,6323182.000000,Mackay River,Pad 751,Pad 751 North
SUN-AB0458829-093-12-W4-00,125150709312W400,z-(base-of-continuous-res)-constrained-(unofficial),591.679993,2020-08-27T00:00:00.0000000,20xx-structure-release,Active,Cased,751 N,751 N,,167.349280,6322832.000000,,434.299988,438.900000,SAGD Producer,Y,,,AB0458829,0458829,2013-08-26T00:00:00.0000000,443853.000000,751-WP06,751-P06,751-P06-Original,SUNCOR 751P6 DOVER 15-7-93-12,SUNCOR P751P6 DOVER 15-7-93-12,125150709312W400,271.550720,444070.750000,6323306.000000,Mackay River,Pad 751,Pad 751 North
SUN-AB0458829-093-12-W4-00,125150709312W400,z-(base-of-continuous-res)-constrained-(unofficial),516.500000,2020-08-27T00:00:00.0000000,20xx-structure-release,Active,Cased,751 N,751 N,,167.371375,6322832.000000,,434.299988,438.900000,SAGD Producer,Y,,,AB0458829,0458829,2013-08-26T00:00:00.0000000,443853.000000,751-WP06,751-P06,751-P06-Original,SUNCOR 751P6 DOVER 15-7-93-12,SUNCOR P751P6 DOVER 15-7-93-12,125150709312W400,271.528625,444072.156250,6323231.000000,Mackay River,Pad 751,Pad 751 North
SUN-AB0458829-093-12-W4-00,125150709312W400,z-(base-of-continuous-res)-constrained-(unofficial),646.700012,2020-08-27T00:00:00.0000000,20xx-structure-release,Active,Cased,751 N,751 N,,167.771643,6322832.000000,,434.299988,438.900000,SAGD Producer,Y,,,AB0458829,0458829,2013-08-26T00:00:00.0000000,443853.000000,751-WP06,751-P06,751-P06-Original,SUNCOR 751P6 DOVER 15-7-93-12,SUNCOR P751P6 DOVER 15-7-93-12,125150709312W400,271.128357,444069.812500,6323361.000000,Mackay River,Pad 751,Pad 751 North
SUN-AB0458829-093-12-W4-00,125150709312W400,z-(base-of-continuous-res)-constrained-(unofficial),470.533325,2020-08-27T00:00:00.0000000,20xx-structure-release,Active,Cased,751 N,751 N,,167.707892,6322832.000000,,434.299988,438.900000,SAGD Producer,Y,,,AB0458829,0458829,2013-08-26T00:00:00.0000000,443853.000000,751-WP06,751-P06,751-P06-Original,SUNCOR 751P6 DOVER 15-7-93-12,SUNCOR P751P6 DOVER 15-7-93-12,125150709312W400,271.192108,444071.312500,6323185.000000,Mackay River,Pad 751,Pad 751 North
SUN-AB0458829-093-12-W4-00,125150709312W400,z-(base-of-continuous-res)-constrained-(unofficial),536.489990,2020-08-27T00:00:00.0000000,20xx-structure-release,Active,Cased,751 N,751 N,,167.226782,6322832.000000,,434.299988,438.900000,SAGD Producer,Y,,,AB0458829,0458829,2013-08-26T00:00:00.0000000,443853.000000,751-WP06,751-P06,751-P06-Original,SUNCOR 751P6 DOVER 15-7-93-12,SUNCOR P751P6 DOVER 15-7-93-12,125150709312W400,271.673218,444071.656250,6323251.000000,Mackay River,Pad 751,Pad 751 North
SUN-AB0458829-093-12-W4-00,125150709312W400,z-(base-of-continuous-res)-constrained-(unofficial),571.034973,2020-08-27T00:00:00.0000000,20xx-structure-release,Active,Cased,751 N,751 N,,167.087317,6322832.000000,,434.299988,438.900000,SAGD Producer,Y,,,AB0458829,0458829,2013-08-26T00:00:00.0000000,443853.000000,751-WP06,751-P06,751-P06-Original,SUNCOR 751P6 DOVER 15-7-93-12,SUNCOR P751P6 DOVER 15-7-93-12,125150709312W400,271.812683,444071.031250,6323285.500000,Mackay River,Pad 751,Pad 751 North
SUN-AB0458829-093-12-W4-00,125150709312W400,z-(base-of-continuous-res)-constrained-(unofficial),639.815002,2020-08-27T00:00:00.0000000,20xx-structure-release,Active,Cased,751 N,751 N,,167.820227,6322832.000000,,434.299988,438.900000,SAGD Producer,Y,,,AB0458829,0458829,2013-08-26T00:00:00.0000000,443853.000000,751-WP06,751-P06,751-P06-Original,SUNCOR 751P6 DOVER 15-7-93-12,SUNCOR P751P6 DOVER 15-7-93-12,125150709312W400,271.079773,444069.843750,6323354.000000,Mackay River,Pad 751,Pad 751 North
SUN-AB0458829-093-12-W4-00,125150709312W400,z-(base-of-continuous-res)-constrained-(unofficial),529.619995,2020-08-27T00:00:00.0000000,20xx-structure-release,Active,Cased,751 N,751 N,,167.281409,6322832.000000,,434.299988,438.900000,SAGD Producer,Y,,,AB0458829,0458829,2013-08-26T00:00:00.0000000,443853.000000,751-WP06,751-P06,751-P06-Original,SUNCOR 751P6 DOVER 15-7-93-12,SUNCOR P751P6 DOVER 15-7-93-12,125150709312W400,271.618591,444071.843750,6323244.000000,Mackay River,Pad 751,Pad 751 North
SUN-AB0458829-093-12-W4-00,125150709312W400,z-(base-of-continuous-res)-constrained-(unofficial),557.215027,2020-08-27T00:00:00.0000000,20xx-structure-release,Active,Cased,751 N,751 N,,167.112799,6322832.000000,,434.299988,438.900000,SAGD Producer,Y,,,AB0458829,0458829,2013-08-26T00:00:00.0000000,443853.000000,751-WP06,751-P06,751-P06-Original,SUNCOR 751P6 DOVER 15-7-93-12,SUNCOR P751P6 DOVER 15-7-93-12,125150709312W400,271.787201,444071.156250,6323271.500000,Mackay River,Pad 751,Pad 751 North
