Date,DEPT,value,type,OG
2005-01-01 0:00,240,11.90001488,TEMP,
2006-01-01 0:00,240,23.20001602,TEMP,
2007-01-01 0:00,240,4.600015163,TEMP,
2008-01-01 0:00,240,6.100015163,TEMP,
2009-01-01 0:00,240,6.100015163,TEMP,
2010-01-01 0:00,240,6.400014877,TEMP,
2011-01-01 0:00,240,-7.999985218,TEMP,
2012-01-01 0:00,240,10.69499969,TEMP,
2013-01-01 0:00,240,10.38999939,TEMP,
2014-01-01 0:00,240,10.68499947,TEMP,
2015-01-01 0:00,240,10.76000023,TEMP,
2016-01-01 0:00,240,11.01499939,TEMP,
2017-01-01 0:00,240,11.38500023,TEMP,
2018-01-01 0:00,240,11.24499989,TEMP,
2019-01-01 0:00,240,11.36000061,TEMP,
2020-01-01 0:00,240,11.46999931,TEMP,
2021-01-01 0:00,240,0,TEMP,
2022-01-01 0:00,240,90.96499634,TEMP,
2023-01-01 0:00,240,0,TEMP,
2003-01-01 0:00,260,2.400015116,TEMP,
2004-01-01 0:00,260,6.100015163,TEMP,
2005-01-01 0:00,260,11.30001545,TEMP,
2006-01-01 0:00,260,24.10001564,TEMP,
2007-01-01 0:00,260,4.400014877,TEMP,
2008-01-01 0:00,260,6.200015068,TEMP,
2009-01-01 0:00,260,6.200015068,TEMP,
2010-01-01 0:00,260,6.300014973,TEMP,
2011-01-01 0:00,260,11.40001011,TEMP,
2012-01-01 0:00,260,11.01000023,TEMP,
2013-01-01 0:00,260,10.14999962,TEMP,
2014-01-01 0:00,260,10.76000023,TEMP,
2015-01-01 0:00,260,10.76499939,TEMP,
2016-01-01 0:00,260,10.87000084,TEMP,
2017-01-01 0:00,260,11.47000027,TEMP,
2018-01-01 0:00,260,11.02000046,TEMP,
2019-01-01 0:00,260,11.87000084,TEMP,
2020-01-01 0:00,260,11.92499924,TEMP,
2021-01-01 0:00,260,0,TEMP,
2022-01-01 0:00,260,97.86500549,TEMP,
2023-01-01 0:00,260,0,TEMP,
2003-01-01 0:00,280,3.00001502,TEMP,
2004-01-01 0:00,280,6.000014782,TEMP,
2005-01-01 0:00,280,9.500015259,TEMP,
2006-01-01 0:00,280,22.40001488,TEMP,
2007-01-01 0:00,280,4.300014973,TEMP,
2008-01-01 0:00,280,6.300014973,TEMP,
2009-01-01 0:00,280,6.300014973,TEMP,
2010-01-01 0:00,280,6.200015068,TEMP,
2011-01-01 0:00,280,19.70001984,TEMP,
2012-01-01 0:00,280,10.82999992,TEMP,
2013-01-01 0:00,280,10.00500011,TEMP,
2014-01-01 0:00,280,10.49499989,TEMP,
2015-01-01 0:00,280,10.73999977,TEMP,
2016-01-01 0:00,280,10.75,TEMP,
2017-01-01 0:00,280,11.14500046,TEMP,
2018-01-01 0:00,280,11.01000023,TEMP,
2019-01-01 0:00,280,11.71500015,TEMP,
2020-01-01 0:00,280,11.74500084,TEMP,
2021-01-01 0:00,280,0,TEMP,
2022-01-01 0:00,280,107.6750031,TEMP,
2023-01-01 0:00,280,0,TEMP,
2003-01-01 0:00,300,2.50001502,TEMP,
2004-01-01 0:00,300,5.100015163,TEMP,
2005-01-01 0:00,300,10.00001526,TEMP,
2006-01-01 0:00,300,21.90001488,TEMP,
2007-01-01 0:00,300,4.300014973,TEMP,
2008-01-01 0:00,300,6.100015163,TEMP,
2009-01-01 0:00,300,6.100015163,TEMP,
2010-01-01 0:00,300,6.100015163,TEMP,
2011-01-01 0:00,300,11.10000992,TEMP,
2012-01-01 0:00,300,10.85000038,TEMP,
2013-01-01 0:00,300,10.14500046,TEMP,
2014-01-01 0:00,300,11.23999977,TEMP,
2015-01-01 0:00,300,10.91499996,TEMP,
2016-01-01 0:00,300,10.71500015,TEMP,
2017-01-01 0:00,300,10.85999966,TEMP,
2018-01-01 0:00,300,11.86999989,TEMP,
2019-01-01 0:00,300,11.52499962,TEMP,
2020-01-01 0:00,300,11.90499973,TEMP,
2021-01-01 0:00,300,0,TEMP,
2022-01-01 0:00,300,101.1000061,TEMP,
2023-01-01 0:00,300,0,TEMP,
2003-01-01 0:00,320,2.100014925,TEMP,
2004-01-01 0:00,320,5.400014877,TEMP,
2005-01-01 0:00,320,12.30001545,TEMP,
2006-01-01 0:00,320,28.60001564,TEMP,
2007-01-01 0:00,320,4.300014973,TEMP,
2008-01-01 0:00,320,6.100015163,TEMP,
2009-01-01 0:00,320,6.100015163,TEMP,
2010-01-01 0:00,320,6.000014782,TEMP,
2011-01-01 0:00,320,-9.699986458,TEMP,
2012-01-01 0:00,320,10.79500008,TEMP,
2013-01-01 0:00,320,10.17000008,TEMP,
2014-01-01 0:00,320,10.65999985,TEMP,
2015-01-01 0:00,320,10.50500011,TEMP,
2016-01-01 0:00,320,10.92500019,TEMP,
2017-01-01 0:00,320,11.50500011,TEMP,
2018-01-01 0:00,320,11.72500038,TEMP,
2019-01-01 0:00,320,11.42499924,TEMP,
2020-01-01 0:00,320,11.89500046,TEMP,
2021-01-01 0:00,320,0,TEMP,
2022-01-01 0:00,320,88.03500366,TEMP,
2023-01-01 0:00,320,0,TEMP,
2003-01-01 0:00,340,2.100014925,TEMP,
2004-01-01 0:00,340,5.700015068,TEMP,
2005-01-01 0:00,340,12.20001507,TEMP,
2006-01-01 0:00,340,26.3000145,TEMP,
2007-01-01 0:00,340,4.200015068,TEMP,
2008-01-01 0:00,340,6.100015163,TEMP,
2009-01-01 0:00,340,6.100015163,TEMP,
2010-01-01 0:00,340,5.900014877,TEMP,
2011-01-01 0:00,340,10.70001984,TEMP,
2012-01-01 0:00,340,10.53000069,TEMP,
2013-01-01 0:00,340,10.34500027,TEMP,
2014-01-01 0:00,340,11.08500004,TEMP,
2015-01-01 0:00,340,10.34499931,TEMP,
2016-01-01 0:00,340,10.97000027,TEMP,
2017-01-01 0:00,340,11.38500023,TEMP,
2018-01-01 0:00,340,11.80999947,TEMP,
2019-01-01 0:00,340,11.93499947,TEMP,
2020-01-01 0:00,340,12.10499954,TEMP,
2021-01-01 0:00,340,0,TEMP,
2022-01-01 0:00,340,106.5699997,TEMP,
2023-01-01 0:00,340,0,TEMP,
2003-01-01 0:00,173.8166351,0,OIL_RATE,
2004-01-01 0:00,183.4689636,0,OIL_RATE,
2005-01-01 0:00,119.2735519,0,OIL_RATE,
2006-01-01 0:00,104.309967,0,OIL_RATE,
2007-01-01 0:00,77.03842545,0,OIL_RATE,
2008-01-01 0:00,49.76688385,0,OIL_RATE,
2009-01-01 0:00,22.49534225,0,OIL_RATE,
2010-01-01 0:00,-4.776199341,0,OIL_RATE,
2011-01-01 0:00,-32.04774094,0,OIL_RATE,
2012-01-01 0:00,-59.31928253,0,OIL_RATE,
2013-01-01 0:00,-86.59082413,0,OIL_RATE,
2014-01-01 0:00,-113.8623657,0,OIL_RATE,
2015-01-01 0:00,-141.1339073,0,OIL_RATE,
2016-01-01 0:00,-168.4054489,0,OIL_RATE,
2017-01-01 0:00,-195.6769905,0,OIL_RATE,
2018-01-01 0:00,-222.9485321,0,OIL_RATE,
2019-01-01 0:00,-250.2200737,0,OIL_RATE,
2020-01-01 0:00,-277.4916153,0,OIL_RATE,
2021-01-01 0:00,-304.7631569,0,OIL_RATE,
2022-01-01 0:00,-332.0346985,0,OIL_RATE,
2023-01-01 0:00,-359.3062401,0,OIL_RATE,
2003-01-01 0:00,1714.389364,0,CHB_PRES,
2004-01-01 0:00,1729.457697,0,CHB_PRES,
2005-01-01 0:00,1731.46272,0,CHB_PRES,
2006-01-01 0:00,1719.913465,0,CHB_PRES,
2007-01-01 0:00,1714.243423,0,CHB_PRES,
2008-01-01 0:00,1712.803625,0,CHB_PRES,
2009-01-01 0:00,1718.843148,0,CHB_PRES,
2010-01-01 0:00,1727.775977,0,CHB_PRES,
2011-01-01 0:00,1660.008378,0,CHB_PRES,
2012-01-01 0:00,1662.237044,0,CHB_PRES,
2013-01-01 0:00,1673.290702,0,CHB_PRES,
2014-01-01 0:00,1666.294541,0,CHB_PRES,
2015-01-01 0:00,1651.230608,0,CHB_PRES,
2016-01-01 0:00,1631.824808,0,CHB_PRES,
2017-01-01 0:00,1655.532245,0,CHB_PRES,
2018-01-01 0:00,1653.168297,0,CHB_PRES,
2019-01-01 0:00,1645.419007,0,CHB_PRES,
2020-01-01 0:00,1641.032303,0,CHB_PRES,
2021-01-01 0:00,1629.234133,0,CHB_PRES,
2022-01-01 0:00,1639.923724,0,CHB_PRES,
2023-01-01 0:00,1639.923724,0,CHB_PRES,
